case_id,problem,pool,composition_model,mechanism_id,partition,variant,baseline_variant,baseline_complete,candidate_complete,total_actual_time_delta_s,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,walk_distance_m_delta,measures_delta,clear_attempts_delta,failed_clear_attempts_delta,component_residual_s
stage3-round-broad-p3-0036-2e5ad1cb93f8be44,3,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_150,development,immediate,joint,True,True,811.9973520000003,827.9973557825178,0,-16,0,0,4139.986778912593,0,0,0,-3.7825175240868703e-06
stage3-round-broad-p3-0036-2e5ad1cb93f8be44,3,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_150,development,scan_then_clear,joint,True,True,-238.01788599999963,-223.01788632085982,0,-3,-12,0,-1115.0894316042977,0,-4,-4,3.2086018109112047e-07
stage3-round-broad-p3-0037-e573ff1d2b9af958,3,broad,broad_joint,assumption__radius_min__noise_correlated__scale_150,development,immediate,joint,True,True,1126.342716,1132.342718096712,0,-18,12,0,5661.7135904835595,0,4,4,-2.096711796184536e-06
stage3-round-broad-p3-0037-e573ff1d2b9af958,3,broad,broad_joint,assumption__radius_min__noise_correlated__scale_150,development,scan_then_clear,joint,True,True,603.8663749999996,637.8663741888213,0,-4,-30,0,3189.3318709441046,0,-10,-10,8.111783245112747e-07
stage3-round-broad-p3-0038-cdcff086c2827c54,3,broad,broad_joint,assumption__radius_min__noise_extreme__scale_150,development,immediate,joint,True,True,1456.9084149999999,1460.90841952335,0,-16,12,0,7304.542097616748,0,4,4,-4.523350071394816e-06
stage3-round-broad-p3-0038-cdcff086c2827c54,3,broad,broad_joint,assumption__radius_min__noise_extreme__scale_150,development,scan_then_clear,joint,True,True,586.7686160000003,605.7686186356582,0,-4,-15,0,3028.8430931782896,0,-5,-5,-2.6356578928243835e-06
stage3-round-broad-p3-0039-eeefe0b0bbbc06bc,3,broad,broad_joint,assumption__radius_max__noise_deterministic__scale_150,development,immediate,joint,True,True,3894.599830000001,3816.5998314071094,0,-18,96,0,19082.99915703555,0,32,32,-1.407108356943354e-06
stage3-round-broad-p3-0039-eeefe0b0bbbc06bc,3,broad,broad_joint,assumption__radius_max__noise_deterministic__scale_150,development,scan_then_clear,joint,True,True,723.8816900000002,747.8816928809383,0,-3,-21,0,3739.4084644046925,0,-7,-7,-2.880938154703472e-06
stage3-round-broad-p3-0040-9e113832b75d2bf3,3,broad,broad_joint,assumption__radius_max__noise_correlated__scale_150,development,immediate,joint,True,True,1261.425076,1248.425079145226,0,-11,24,0,6242.125395726129,0,8,8,-3.1452259463549126e-06
stage3-round-broad-p3-0040-9e113832b75d2bf3,3,broad,broad_joint,assumption__radius_max__noise_correlated__scale_150,development,scan_then_clear,joint,True,True,857.6254949999998,903.6254952552213,0,-1,-45,0,4518.127476276106,0,-15,-15,-2.5522149371681735e-07
