case_id,problem,pool,composition_model,mechanism_id,partition,variant,baseline_variant,baseline_complete,candidate_complete,total_actual_time_delta_s,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,walk_distance_m_delta,measures_delta,clear_attempts_delta,failed_clear_attempts_delta,component_residual_s
round-calibrated-p4-0199-1466afb1c0118e2f,4,calibrated,broad_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-1257.245205000001,-1051.2451964025768,-230,0,24,0,-5256.225982012889,-46,8,8,-8.597424312029034e-06
round-broad-p3-0010-f1a0dc14eac67442,3,broad,broad_joint,assumption__radius_min__noise_correlated__scale_150,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-604.6392420000002,-459.63924012181224,-175,0,30,0,-2298.1962006090616,-35,10,10,-1.8781879589369055e-06
round-broad-p3-0017-e1705042294bdbb9,3,broad,broad_joint,assumption__radius_mixed__noise_extreme__scale_150,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-494.134943,-399.1349407854864,-155,0,60,0,-1995.6747039274305,-31,20,20,-2.2145136426843237e-06
round-broad-p3-0026-bb2ec0cacbb705a6,3,broad,broad_joint,assumption__radius_mixed__noise_extreme__scale_300,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-285.4148720000003,-230.41486840712605,-130,0,75,0,-1152.0743420356303,-26,25,25,-3.592874236346688e-06
round-broad-p3-0029-960abc8a8790767f,3,broad,broad_joint,assumption__radius_min__noise_extreme__scale_75,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-260.1957219999995,-206.195716791824,-90,0,36,0,-1030.9785839591204,-18,12,12,-5.208175480220234e-06
round-broad-p3-0038-83c668ce2d0e00e2,3,broad,broad_joint,assumption__radius_min__noise_extreme__scale_150,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-203.69550600000002,-150.69550701192793,-50,0,-3,0,-753.4775350596392,-10,-1,-1,1.011927906802157e-06
round-broad-p3-0040-b08bbe946f287460,3,broad,broad_joint,assumption__radius_max__noise_correlated__scale_150,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-646.1813679999996,-547.1813615066212,-150,0,51,0,-2735.906807533105,-30,17,17,-6.493378350569401e-06
round-broad-p3-0041-7c609b389c973d10,3,broad,broad_joint,assumption__radius_max__noise_extreme__scale_150,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-670.3007659999994,-588.3007613084183,-145,0,63,0,-2941.5038065420886,-29,21,21,-4.691581125371158e-06
round-broad-p3-0042-43069651d2a495a6,3,broad,broad_joint,assumption__radius_mixed__noise_deterministic__scale_150,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-429.7950300000002,-384.7950252650435,-135,0,90,0,-1923.9751263252183,-27,30,30,-4.734956746688113e-06
round-broad-p3-0057-849945bc4be0c115,3,broad,broad_joint,assumption__radius_max__noise_deterministic__scale_75,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-421.9097379999994,-360.9097334319572,-130,0,69,0,-1804.5486671597864,-26,23,23,-4.568042186292587e-06
