case_id,problem,pool,composition_model,partition,error_mode,variant,mechanism_id,mechanism_status,baseline_complete,candidate_complete,baseline_variant,both_complete,completion_delta,penalized_time_delta_s,completed_time_delta_s,completed_reduction_pct,baseline_total_virtual_time_s,candidate_total_virtual_time_s,walk_distance_m_delta,measures_delta,failed_clear_attempts_delta,failed_clear_cost_s_delta,fallback_targets_delta,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,post_clear_stop_tail_s_delta
p4-refinement-confirmation-round-broad-p4-0130-555c5ee17aa69e2c,4,broad,broad_joint,confirmation,correlated,coverage,assumption__radius_max__noise_correlated__scale_300,broad_or_stress_assumption,True,True,current,True,0,-416.766173,-416.766173,4.051969716028071,10285.520431,9868.754258,386.1691453955209,-93,19,57.0,3,77.233829079104,-465.0,-86.0,57.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0131-e4861fd804ea0534,4,broad,broad_joint,confirmation,extreme,combined_cover,assumption__radius_max__noise_extreme__scale_300,broad_or_stress_assumption,True,True,current,True,0,-1895.7245279999988,-1895.7245279999988,17.505803053609878,10829.120619,8933.396091,-8358.622651810656,-41,5,15.0,0,-1671.7245303621312,-205.0,-34.0,15.0,0.0,1501.9538420000008
p4-refinement-confirmation-round-broad-p4-0131-e4861fd804ea0534,4,broad,broad_joint,confirmation,extreme,coverage,assumption__radius_max__noise_extreme__scale_300,broad_or_stress_assumption,True,True,current,True,0,-2055.9034519999987,-2055.9034519999987,18.98495292769071,10829.120619,8773.217167,-8784.517265419214,-41,-20,-60.0,0,-1756.9034530838426,-205.0,-34.0,-60.0,0.0,1502.9233120000008
p4-refinement-confirmation-round-broad-p4-0132-4fd7dfd31a7b3745,4,broad,broad_joint,confirmation,deterministic,combined_cover,assumption__radius_mixed__noise_deterministic__scale_300,broad_or_stress_assumption,True,True,current,True,0,-1618.3236159999997,-1618.3236159999997,16.08257660286531,10062.589198,8444.265582,-5746.618100780106,-73,-12,-36.0,-1,-1149.3236201560212,-365.0,-68.0,-36.0,0.0,-1302.5211559999989
p4-refinement-confirmation-round-broad-p4-0132-4fd7dfd31a7b3745,4,broad,broad_joint,confirmation,deterministic,coverage,assumption__radius_mixed__noise_deterministic__scale_300,broad_or_stress_assumption,True,True,current,True,0,-1533.1147839999994,-1533.1147839999994,15.235788263171026,10062.589198,8529.474414,-5485.57394292314,-73,-1,-3.0,-1,-1097.1147885846285,-365.0,-68.0,-3.0,0.0,-1302.5211559999989
p4-refinement-confirmation-round-broad-p4-0133-b4dc7b35e1247c4b,4,broad,broad_joint,confirmation,correlated,combined_cover,assumption__radius_mixed__noise_correlated__scale_300,broad_or_stress_assumption,True,True,current,True,0,-1342.4307989999998,-1342.4307989999998,12.315885048980679,10899.994549,9557.56375,-5672.154007955367,-29,-13,-39.0,-1,-1134.4308015910738,-145.0,-24.0,-39.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0133-b4dc7b35e1247c4b,4,broad,broad_joint,confirmation,correlated,coverage,assumption__radius_mixed__noise_correlated__scale_300,broad_or_stress_assumption,True,True,current,True,0,-1342.9846159999997,-1342.9846159999997,12.320965941429847,10899.994549,9557.009933,-5644.923099899366,-29,-15,-45.0,-1,-1128.984619979874,-145.0,-24.0,-45.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0134-41896b5b3b66c1fb,4,broad,broad_joint,confirmation,extreme,combined_cover,assumption__radius_mixed__noise_extreme__scale_300,broad_or_stress_assumption,True,True,current,True,0,-905.0679259999997,-905.0679259999997,8.667512993673638,10442.071753,9537.003827,-4085.339622807318,-28,25,75.0,2,-817.0679245614629,-140.0,-23.0,75.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0134-41896b5b3b66c1fb,4,broad,broad_joint,confirmation,extreme,coverage,assumption__radius_mixed__noise_extreme__scale_300,broad_or_stress_assumption,True,True,current,True,0,-1078.3156359999994,-1078.3156359999994,10.32664457309633,10442.071753,9363.756117,-4636.57816929464,-28,4,12.0,2,-927.3156338589279,-140.0,-23.0,12.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0135-61d537cc237b0e58,4,broad,broad_joint,confirmation,deterministic,combined_cover,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,current,True,0,1581.8602589999991,1581.8602589999991,-22.809897043448615,6934.973253,8516.833512,7674.3012882550975,17,-16,-48.0,-1,1534.8602576510202,85.0,10.0,-48.0,0.0,0.0
