pool,problem,composition_model,partition,mechanism_id,mechanism_status,noise_model,variant,baseline_variant,n_pairs,baseline_failures,candidate_failures,completion_delta_mean,penalized_time_delta_mean_s,penalized_delta_ci_low_s,penalized_delta_ci_high_s,both_complete_n,completed_time_delta_mean_s,completed_time_delta_median_s,completed_regression_rate,completed_worst_regression_s,mean_completed_reduction_pct,ci_scope,precision_warning,completed_delta_ci_low_s,completed_delta_ci_high_s
broad,4,broad_joint,confirmation,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,all,coverage,current,12,0,0,0.0,-1660.8624940000002,-2513.4786845041667,-637.0439513062527,12,-1660.8624940000002,-1761.3498505000007,0.08333333333333333,2717.488378,13.367855312779142,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-2521.6619239187503,-623.5614622583338
broad,4,broad_joint,confirmation,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,correlated,combined_cover,current,12,0,0,0.0,-1801.0561589166666,-2706.2683522270836,-686.7783244479169,12,-1801.0561589166666,-2013.7273939999995,0.08333333333333333,2666.557009,14.590246503332446,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-2680.9876103208335,-730.6373817687502
broad,4,broad_joint,confirmation,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,correlated,coverage,current,12,0,0,0.0,-1660.8624940000002,-2559.56306896875,-598.8388929750006,12,-1660.8624940000002,-1761.3498505000007,0.08333333333333333,2717.488378,13.367855312779142,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-2544.448589839583,-586.6836820020836
broad,4,broad_joint,all,assumption__radius_max__noise_correlated__scale_300,broad_or_stress_assumption,all,combined_cover,current,12,0,0,0.0,-1217.6055210833329,-1575.0713055312497,-857.059953908333,12,-1217.6055210833329,-1173.2711704999992,0.0,-277.9283209999994,11.51521011057577,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-1580.8267278354165,-882.3271504437498
broad,4,broad_joint,all,assumption__radius_max__noise_correlated__scale_300,broad_or_stress_assumption,all,coverage,current,12,0,0,0.0,-1133.6222799999998,-1553.5892817791662,-661.2844452625006,12,-1133.6222799999998,-1239.0042779999994,0.08333333333333333,657.0537760000007,10.741822179412793,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-1552.9533181458328,-677.0459994458332
broad,4,broad_joint,all,assumption__radius_max__noise_correlated__scale_300,broad_or_stress_assumption,correlated,combined_cover,current,12,0,0,0.0,-1217.6055210833329,-1571.7435356624992,-879.814687052083,12,-1217.6055210833329,-1173.2711704999992,0.0,-277.9283209999994,11.51521011057577,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-1574.9022050541662,-887.1441080208335
broad,4,broad_joint,all,assumption__radius_max__noise_correlated__scale_300,broad_or_stress_assumption,correlated,coverage,current,12,0,0,0.0,-1133.6222799999998,-1558.2789515562495,-690.9192011916667,12,-1133.6222799999998,-1239.0042779999994,0.08333333333333333,657.0537760000007,10.741822179412793,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-1557.6847391895835,-685.498558564583
broad,4,broad_joint,confirmation,assumption__radius_max__noise_correlated__scale_300,broad_or_stress_assumption,all,combined_cover,current,12,0,0,0.0,-1217.6055210833329,-1560.2427371479164,-873.593226152083,12,-1217.6055210833329,-1173.2711704999992,0.0,-277.9283209999994,11.51521011057577,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-1567.1335038583327,-883.8778408999996
broad,4,broad_joint,confirmation,assumption__radius_max__noise_correlated__scale_300,broad_or_stress_assumption,all,coverage,current,12,0,0,0.0,-1133.6222799999998,-1530.7976765604167,-677.9212688999996,12,-1133.6222799999998,-1239.0042779999994,0.08333333333333333,657.0537760000007,10.741822179412793,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-1561.4806581062494,-688.5061041083335
broad,4,broad_joint,confirmation,assumption__radius_max__noise_correlated__scale_300,broad_or_stress_assumption,correlated,combined_cover,current,12,0,0,0.0,-1217.6055210833329,-1580.4622822729161,-883.8634951250002,12,-1217.6055210833329,-1173.2711704999992,0.0,-277.9283209999994,11.51521011057577,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-1573.6912415666661,-879.8971583791665
