case_id,mode,source_distance_m,true_angle_deg,first_error_deg,first_report_deg,second_error_deg,receiver_radius_m,q_x,q_y,second_response,safety_certificate,movement_m,movement_and_second_measure_s,crossing_acute_angle_deg,posterior_diameter_m,posterior_mec_radius_m,direction_outcome_bound_m,mec_center_error_m,certified_clear_after_two,extra_clear_movement_m
d100_a359.995_e-1,active,100.0,359.995,-1.0,359.0,0.75,1000.0,371.0160942352579,-231.51038382416937,direction,convex_hull_first_station_and_Q_safe,437.32139211339756,92.46427842267951,40.498917038028154,24.507951882939313,12.253975941471182,241.71886404388374,5.701870259495345,True,349.9238707755804
d100_a359.995_e0,fixed,100.0,359.995,0.0,0.0,0.75,1000.0,700.0,400.0,direction,Q_safe,806.2257748298549,166.24515496597098,33.695644428401046,50.005601549744696,25.00280077487437,111.91092581755662,16.658792232525045,False,
d100_a359.995_e0,estimated,100.0,359.995,0.0,0.0,0.75,1000.0,721.8211308091836,159.1479957554249,direction,Q_safe,739.1575132782033,152.83150265564066,14.361786620102817,99.46458192535925,49.73229096268223,172.89590806730575,32.37270893160394,False,
d100_a359.995_e0,active,100.0,359.995,0.0,0.0,0.75,1000.0,375.0,225.0,direction,convex_hull_first_station_and_Q_safe,437.3213921133975,92.4642784226795,39.29549591559028,23.845129356743964,11.922564678373675,241.9103211568431,7.205522471178541,True,339.91923175542433
d100_a359.995_e1,fixed,100.0,359.995,1.0,1.0,0.75,1000.0,692.9124240345604,412.15576256865495,direction,Q_safe,806.2257748298549,166.24515496597098,34.81018760648642,49.85344806849083,24.92672403424747,111.6672558693896,19.402704608147236,False,
d100_a359.995_e1,estimated,100.0,359.995,1.0,1.0,0.75,1000.0,721.6858947833327,177.54852987719914,direction,Q_safe,743.2052281777721,153.64104563555443,15.94466263361992,96.40011141713057,48.20005570856794,167.98139298877288,37.60012334862922,False,
d100_a359.995_e1,active,100.0,359.995,1.0,1.0,0.75,1000.0,371.016094235258,231.51038382416934,direction,convex_hull_first_station_and_Q_safe,437.32139211339756,92.46427842267951,40.511050237243474,23.736838579515407,11.868419289759423,241.7188640438828,9.499345773756035,True,338.28469144861697
d300_a0_e-1,fixed,300.0,0.0,-1.0,359.0,0.75,1000.0,706.8743491843873,387.72239355645803,direction,Q_safe,806.2257748298549,166.24515496597098,43.61928227531109,39.73861194277309,19.869305971391185,112.20357240224872,7.061611067052984,True,560.7709935365305
d300_a0_e-1,estimated,300.0,0.0,-1.0,359.0,0.75,1000.0,721.6858947833327,140.81998142704794,direction,Q_safe,735.2964013908498,152.05928027816998,18.466494785957778,74.62491586485218,37.312457932430924,175.58841794431993,5.2770983514159475,False,
d300_a0_e-1,active,300.0,0.0,-1.0,359.0,0.75,1000.0,371.0160942352579,-231.51038382416937,direction,convex_hull_first_station_and_Q_safe,437.32139211339756,92.46427842267951,72.94654067121012,16.204631413705957,8.102315706857306,241.71886404388374,5.5909081837877785,True,224.5936041154786
d300_a0_e0,fixed,300.0,0.0,0.0,0.0,0.75,1000.0,700.0,400.0,direction,Q_safe,806.2257748298549,166.24515496597098,44.99999999999998,39.480994510326184,19.740497255167803,111.91092581755662,10.247169628602617,True,556.6702555819759
